Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,3038884425.02797,3083933199.18293,3145152626.68496,3212793281.99492,3306166250.51078,3432211818.32122,3593925476.82719,3781621514.04885,3939532072.24893,3948474420.03344,3997771738.19296,4106283622.56743,3980978516.61811,3987244429.21591,3956860925.03556,3963751079.56532,3961008962.771,4080536556.8692,4086349152.13221,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,3622388218.85131,3837335701.41811,3897995483.86372,3644897649.47868,3587234323.61289,3704981220.90876,3702634809.49612,3742216952.82512,3837526367.42325,3964557950.77372,4160243391.84608,4400010857.13812,4651364056.62549,
Cyprus,CYP,7726476512.11102,8046836703.44861,9003857031.88045,9281703970.95702,10039217687.9001,11106857972.1964,11433396890.561,11922588859.8087,12737741776.4337,13501977741.0779,14780314145.9609,16045425527.8132,16716214674.5424,17421216997.804,18870225579.1067,20504289938.429,22513299138.0451,25198118570.7654,27398523232.8023,27406516369.4977,27741573353.8928,28345891540.0357,27503409470.4567,26181488763.0206,25611630279.2852,26889780680.0175,30135749614.2885,32461369545.2405,34574175050.8282,36376855078.9005
Czech Republic,CZE,130781432077.472,119500244930.858,121604436209.207,124562650661.475,130923833258.635,141985181138.511,150354643707.911,151750908250.946,153451617416.505,157590965153.011,166076931522.484,179349020434.32,185474094813.637,198032542823.473,212092065914.918,224201378156.886,243404083714.201,269036163173.588,289157145081.601,288463589224.797,290016958369.654,302260233093.211,305309362168.598,320535090730.576,339582593690.886,355311747821.274,379085413179.319,407774582307.656,429335963329.522,454269384965.603
Germany,DEU,1543185916262.22,1676867309864.1,1748149974066.26,1772042875808.53,1853285021267.37,1921185762654.8,1968859035644.57,2015135479495.69,2079452807088.9,2158514818382.19,2236911602807.63,2337145131620,2406901890705.46,2465749300937.88,2583207076040.95,2622040720917.68,2810612327627.45,2982137360500.33,3103957698735.13,3018205018720.86,3187561994873.85,3415020684916.05,3487232707438.34,3628559701800.76,3807112936430.42,3895127090047.34,4163898794181.89,4381793826850.42,4514794305292.67,4659794737398.96
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,3624994849.43033,3854585103.65772,4181038015.51501,4359928618.60477,4612122077.43311,5117875832.88731,5596101781.64053
Dominica,DMA,302734908.741137,317186753.106842,331000730.101867,346169303.257187,353681543.343189,372039517.922234,390614732.561705,406033756.376272,426099307.537753,433784886.472064,453857331.694895,463521068.786063,457533017.731854,495638542.228601,524509675.61594,544397072.255744,587001302.576806,641068337.095406,700074712.265285,697160127.545371,710028908.242172,723240297.773785,705767394.597635,720553048.260504,775558493.883369,792974988.031191,852085425.178163,807786936.210854,845572778.057896,909042210.926171
Denmark,DNK,93618075912.1299,98132830013.8667,102333419108.782,104769177351.97,112712476577.488,118559888106.865,124728959668.485,131701997542.07,136920830413.922,141846293400.642,153080721837.008,157815663322.281,164720383885.92,165958121874.319,177856541414.866,185074466960.377,202752403003.646,212808607093.313,226767483101.984,222968590830.819,238726825969.431,247352252302.688,250524614311.535,262368108591.261,270330620655.251,278823156813.193,297688974563.072,317448098301.086,331502619455.559,348124923446.605
Dominican Republic,DOM,26168364886.6574,27308735919.0208,31065204352.6325,34143231556.0033,35779122695.9467,38606201450.924,41663160849.9642,46147315572.6952,49800139084.2559,53520017836.7188,57267194693.0729,59962698189.7979,63649185862.2426,63958774211.7871,67368761759.5235,76016797703.9814,85502321822.7471,94310295384.7832,99230524887.0962,100933041031.466,110624711806.79,116474304267.389,118182716945.457,125423585902.201,136975940972.301,151560391082.114,167506141668.242,175940743802.656,192667405086.259,205999086208.217
Algeria,DZA,178166855150.894,181981717530.714,189479238882.001,189895192443.625,192204629136.358,203691749438.983,215925682768.74,222065225760.159,236017418737.842,247086651492.947,262209398348.977,275999588714.017,296065702002.891,323276526474.461,346254948416.497,378105985252.305,396170566350.779,420644448161.391,439118373749.399,449545448501.558,471155995344.521,494946932460.99,497333381803.32,497987645164.952,506132223245.392,477358007095.103,471382327282.143,478068226812.184,496200052508.074,508890873330.242
East Asia & Pacific (excluding high income),EAP,2321809022178.41,2585053851588.13,2914375220406.59,3293297567504.79,3708299261207.46,4147636618492.16,4594118861079.11,4986177516475.33,5080550515807.89,5453622188867.13,5984192876126.4,6511139146802.06,7119387100327.83,7867682840188.26,8782179455246.31,9907404761919.35,11267999327854.6,12929194496699.8,14262536972131.5,15435725730688,17111501666715.9,18909814235188.5,20652627141772.1,22004849395356.3,23198581454042.7,24039211316474.7,25280213837308,26857515419795.9,29246404183564,31470087917356.2
